SmartZoneName,curb_zone_id,week,Day,bookings,Weekend_dummy,CLASS_2,Bike_Network_dummy
1000 Walnut Street (near 10 Street),"184","8",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","8",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","8",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","9",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","9",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","9",Tue,"2",0,"2",1
1000 Walnut Street (near 10 Street),"184","9",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","9",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","9",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","9",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","10",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","10",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","10",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","10",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","10",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","10",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","10",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","12",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","12",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","12",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","12",Wed,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","12",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","12",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","12",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","13",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","13",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","13",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","13",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","13",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","13",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","13",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","14",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","14",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","14",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","14",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","14",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","14",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","14",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","15",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","15",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","15",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","15",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","15",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","15",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","15",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","42",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","42",Mon,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","42",Tue,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","42",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","42",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","42",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","42",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","43",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","43",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","43",Tue,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","43",Wed,"2",0,"2",1
1000 Walnut Street (near 10 Street),"184","43",Thu,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","43",Fri,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","43",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","44",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","44",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","44",Tue,"1",0,"2",1
1000 Walnut Street (near 10 Street),"184","44",Wed,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","44",Thu,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","44",Fri,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","44",Sat,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","46",Sun,"0",1,"2",1
1000 Walnut Street (near 10 Street),"184","46",Mon,"0",0,"2",1
1000 Walnut Street (near 10 Street),"184","46",Tue,"1",0,"2",1
